GENOME	ENTROPIES for motif lengths [1 2 3 4 5]
254840605627382027943854378469668623460	1.000000000000000e+00 2.000000000000000e+00 2.948989648336089e+00 3.421875000000001e+00 3.500000000000000e+00
61892815388761024919247933784504355182	1.000000000000000e+00 2.000000000000000e+00 2.945159765557395e+00 3.453125000000000e+00 3.500000000000000e+00
332865898370839563958260285215748946276	1.000000000000000e+00 2.000000000000000e+00 2.923637206946741e+00 3.375000000000000e+00 3.500000000000000e+00
175012303110473686212347605789584492530	1.000000000000000e+00 2.000000000000000e+00 2.937194531114785e+00 3.367187500000001e+00 3.500000000000000e+00
309428005126321697337875107502704019537	1.000000000000000e+00 2.000000000000000e+00 2.937194531114786e+00 3.406250000000001e+00 3.500000000000000e+00
98144803246154900730586967486419240469	1.000000000000000e+00 2.000000000000000e+00 2.915671972504132e+00 3.359375000000001e+00 3.500000000000000e+00
9960234784533733562832397697179121228	1.000000000000000e+00 2.000000000000000e+00 2.954887206946742e+00 3.437500000000000e+00 3.500000000000000e+00
327597768893454961561147780202045554472	1.000000000000000e+00 2.000000000000000e+00 2.908012206946742e+00 3.367187500000001e+00 3.500000000000000e+00
300209084245215140358241715715447384494	1.000000000000000e+00 2.000000000000000e+00 2.935432324168046e+00 3.453125000000000e+00 3.500000000000000e+00
296020881274415206454108264047227312841	1.000000000000000e+00 2.000000000000000e+00 2.927467089725437e+00 3.398437500000001e+00 3.500000000000000e+00
258410274441648421525321378454369065424	1.000000000000000e+00 2.000000000000000e+00 2.923637206946741e+00 3.437500000000001e+00 3.500000000000000e+00
55587714801120238281917527083485782357	1.000000000000000e+00 2.000000000000000e+00 2.905944531114785e+00 3.390625000000000e+00 3.500000000000000e+00
118220793622179007698444943202663950456	1.000000000000000e+00 2.000000000000000e+00 2.935432324168047e+00 3.359375000000000e+00 3.500000000000000e+00
228375474617898718833199636705022067156	1.000000000000000e+00 2.000000000000000e+00 2.929534765557394e+00 3.382812500000001e+00 3.500000000000000e+00
310766754692425105030662737152295614681	1.000000000000000e+00 2.000000000000000e+00 2.902114648336091e+00 3.390625000000001e+00 3.500000000000000e+00
118801057347459446633656131291422794828	1.000000000000000e+00 2.000000000000000e+00 2.945159765557395e+00 3.429687500000001e+00 3.500000000000000e+00
70543513435098995334068569971603872047	1.000000000000000e+00 2.000000000000000e+00 2.937194531114785e+00 3.414062500000000e+00 3.500000000000000e+00
12216214495925545227362696612881146241	1.000000000000000e+00 2.000000000000000e+00 2.954887206946742e+00 3.421875000000002e+00 3.500000000000000e+00
80631236996739052797673494502768474578	1.000000000000000e+00 2.000000000000000e+00 2.945159765557394e+00 3.359375000000000e+00 3.500000000000000e+00
274489350838593614734613156855521229757	1.000000000000000e+00 2.000000000000000e+00 2.933364648336089e+00 3.421875000000001e+00 3.500000000000000e+00
78601503774647692336872689118926693568	1.000000000000000e+00 2.000000000000000e+00 2.943092089725437e+00 3.429687500000000e+00 3.500000000000000e+00
254526646676931924394613044864891360555	1.000000000000000e+00 2.000000000000000e+00 2.937194531114784e+00 3.398437500000000e+00 3.500000000000000e+00
164052906775455545628195555573956401233	1.000000000000000e+00 2.000000000000000e+00 2.880592089725437e+00 3.335937500000001e+00 3.500000000000000e+00
39414046371149716764103146501239720620	1.000000000000000e+00 2.000000000000000e+00 2.956954882778699e+00 3.429687500000000e+00 3.500000000000000e+00
241802919454229396370770102628506928807	1.000000000000000e+00 2.000000000000000e+00 2.893369214908247e+00 3.300704882778697e+00 3.500000000000000e+00
35506435928999303215564636681411067971	1.000000000000000e+00 2.000000000000000e+00 2.947227441389350e+00 3.445312500000000e+00 3.500000000000000e+00
26090157043573912325890429082766456869	1.000000000000000e+00 2.000000000000000e+00 2.890319531114785e+00 3.429687500000000e+00 3.500000000000000e+00
213995028006981662936432922341572723776	1.000000000000000e+00 2.000000000000000e+00 2.886489648336089e+00 3.353477441389348e+00 3.500000000000000e+00
297003830331714072706142577494572347204	1.000000000000000e+00 2.000000000000000e+00 2.960784765557394e+00 3.476562500000000e+00 3.500000000000000e+00
165806735359830440332514344037672836086	1.000000000000000e+00 2.000000000000000e+00 2.948989648336090e+00 3.437500000000000e+00 3.500000000000000e+00
132413022965233587913701524641230979796	1.000000000000000e+00 2.000000000000000e+00 2.943092089725437e+00 3.437500000000000e+00 3.500000000000000e+00
12831591449775165402485416823887277224	1.000000000000000e+00 2.000000000000000e+00 2.933364648336089e+00 3.414062500000000e+00 3.500000000000000e+00
85581163436864499415529649852625645453	1.000000000000000e+00 2.000000000000000e+00 2.909774413893480e+00 3.382812500000000e+00 3.500000000000000e+00
138501886642875102981223442893960206267	1.000000000000000e+00 2.000000000000000e+00 2.900046972504132e+00 3.382812500000000e+00 3.500000000000000e+00
29484102491096551625309392000400633052	1.000000000000000e+00 2.000000000000000e+00 2.905944531114785e+00 3.398437500000001e+00 3.500000000000000e+00
215481071980620243971907121938043910754	1.000000000000000e+00 2.000000000000000e+00 2.931296972504133e+00 3.406250000000000e+00 3.500000000000000e+00
120318067006678381955620586882889567367	1.000000000000000e+00 2.000000000000000e+00 2.927467089725438e+00 3.398437500000001e+00 3.500000000000000e+00
224574652837129165939584028822183961234	1.000000000000000e+00 2.000000000000000e+00 2.915671972504134e+00 3.382812500000000e+00 3.500000000000000e+00
129227378406067719385123329810624547594	1.000000000000000e+00 2.000000000000000e+00 2.868796972504132e+00 3.382812500000001e+00 3.500000000000000e+00
189357676391252053309723926586687690166	1.000000000000000e+00 2.000000000000000e+00 2.956954882778699e+00 3.476562500000000e+00 3.500000000000000e+00
139700618749440729317300166096779878064	1.000000000000000e+00 2.000000000000000e+00 2.933364648336089e+00 3.392539941389348e+00 3.500000000000000e+00
275306687193280684127673764756015399169	1.000000000000000e+00 2.000000000000000e+00 2.927467089725436e+00 3.429687500000000e+00 3.500000000000000e+00
208686521753983308766877189294266369489	1.000000000000000e+00 2.000000000000000e+00 2.954887206946743e+00 3.437500000000002e+00 3.500000000000000e+00
251174817264666189298648825315303594051	1.000000000000000e+00 2.000000000000000e+00 2.943092089725437e+00 3.421875000000000e+00 3.500000000000000e+00
252099346261007644123531474673179848218	1.000000000000000e+00 2.000000000000000e+00 2.896217089725437e+00 3.359375000000001e+00 3.500000000000000e+00
96576957929550567663022615887276391780	1.000000000000000e+00 2.000000000000000e+00 2.943092089725437e+00 3.421875000000000e+00 3.500000000000000e+00
138841493263582614437210377092482649416	1.000000000000000e+00 2.000000000000000e+00 2.931296972504132e+00 3.390625000000000e+00 3.500000000000000e+00
244060536769345736006189980516367622460	1.000000000000000e+00 2.000000000000000e+00 2.939262206946742e+00 3.414062500000000e+00 3.500000000000000e+00
131690088018864486321045657037404751056	1.000000000000000e+00 2.000000000000000e+00 2.900046972504134e+00 3.367187500000001e+00 3.500000000000000e+00
241088480088750082539249075399589344815	1.000000000000000e+00 2.000000000000000e+00 2.937194531114785e+00 3.445312500000000e+00 3.500000000000000e+00
202592502619694893418101380655660708918	1.000000000000000e+00 2.000000000000000e+00 2.921569531114785e+00 3.431602441389348e+00 3.500000000000000e+00
167320737084826239713319192267935483182	1.000000000000000e+00 2.000000000000000e+00 2.931296972504133e+00 3.335937500000001e+00 3.500000000000000e+00
275171458221617941816185931770439787830	1.000000000000000e+00 2.000000000000000e+00 2.927467089725437e+00 3.367187500000001e+00 3.500000000000000e+00
49613846413782167678723985007853331709	1.000000000000000e+00 2.000000000000000e+00 2.945159765557394e+00 3.429687500000000e+00 3.500000000000000e+00
214054750813309074031225854162192526150	1.000000000000000e+00 2.000000000000000e+00 2.927467089725437e+00 3.359375000000001e+00 3.500000000000000e+00
237061656285117130972300217356874609407	1.000000000000000e+00 2.000000000000000e+00 2.933364648336089e+00 3.390625000000000e+00 3.500000000000000e+00
196836704797618453987107075627166021612	1.000000000000000e+00 2.000000000000000e+00 2.921569531114785e+00 3.414062500000001e+00 3.500000000000000e+00
161734233920540469188712465709673489002	1.000000000000000e+00 2.000000000000000e+00 2.896217089725437e+00 3.328125000000001e+00 3.500000000000000e+00
196002144798585909768209912347698812660	1.000000000000000e+00 2.000000000000000e+00 2.956954882778698e+00 3.429687500000001e+00 3.500000000000000e+00
222276651985422159063075264816801871854	1.000000000000000e+00 2.000000000000000e+00 2.931296972504134e+00 3.398437500000000e+00 3.500000000000000e+00
212713221673862704121319779340391291402	1.000000000000000e+00 2.000000000000000e+00 2.890319531114785e+00 3.343750000000002e+00 3.500000000000000e+00
144844039825079286532843557601836208645	1.000000000000000e+00 2.000000000000000e+00 2.921569531114785e+00 3.359375000000000e+00 3.500000000000000e+00
246395343525967902316152558048694515497	1.000000000000000e+00 2.000000000000000e+00 2.927467089725437e+00 3.382812500000000e+00 3.500000000000000e+00
337811404015431698793268610705400249637	1.000000000000000e+00 2.000000000000000e+00 2.913909765557394e+00 3.343750000000001e+00 3.500000000000000e+00
267236227824718064359328839605391862059	1.000000000000000e+00 2.000000000000000e+00 2.884421972504133e+00 3.375000000000001e+00 3.500000000000000e+00
124772654298656857400087536999954704484	1.000000000000000e+00 2.000000000000000e+00 2.927467089725437e+00 3.345664941389349e+00 3.500000000000000e+00
179032935202432312206559057341693256723	1.000000000000000e+00 2.000000000000000e+00 2.923637206946741e+00 3.414062500000000e+00 3.500000000000000e+00
71449608355145624008623540290783609749	1.000000000000000e+00 2.000000000000000e+00 2.917739648336089e+00 3.351562500000000e+00 3.500000000000000e+00
333258882717016261314751814648060911687	1.000000000000000e+00 2.000000000000000e+00 2.945159765557394e+00 3.414062500000000e+00 3.500000000000000e+00
144018805977357314668680534234515756189	1.000000000000000e+00 2.000000000000000e+00 2.908012206946741e+00 3.375000000000001e+00 3.500000000000000e+00
239147355054278880173652539332103729660	1.000000000000000e+00 2.000000000000000e+00 2.943092089725437e+00 3.382812500000000e+00 3.500000000000000e+00
71366332704502809266965913745637421757	1.000000000000000e+00 2.000000000000000e+00 2.939262206946742e+00 3.390625000000000e+00 3.500000000000000e+00
47373134688448835845179428241246292671	1.000000000000000e+00 2.000000000000000e+00 2.948989648336089e+00 3.437500000000001e+00 3.500000000000000e+00
133289403903064628624827400677800660543	1.000000000000000e+00 2.000000000000000e+00 2.954887206946743e+00 3.460937500000001e+00 3.500000000000000e+00
254012222705647344094939280286102758083	1.000000000000000e+00 2.000000000000000e+00 2.927467089725437e+00 3.382812500000001e+00 3.500000000000000e+00
67554490095501211171740135850380608529	1.000000000000000e+00 2.000000000000000e+00 2.927467089725437e+00 3.414062500000000e+00 3.500000000000000e+00
7269064356440251777738952349666318666	1.000000000000000e+00 2.000000000000000e+00 2.915671972504132e+00 3.359375000000000e+00 3.500000000000000e+00
288967351066686458354968698820727941344	1.000000000000000e+00 2.000000000000000e+00 2.939262206946742e+00 3.414062500000002e+00 3.500000000000000e+00
175936389924961508965525761472748691490	1.000000000000000e+00 2.000000000000000e+00 2.956954882778699e+00 3.453125000000001e+00 3.500000000000000e+00
142711293236555839107795926176175814356	1.000000000000000e+00 2.000000000000000e+00 2.954887206946742e+00 3.453125000000000e+00 3.500000000000000e+00
57202799446677774021234490480678075962	1.000000000000000e+00 2.000000000000000e+00 2.892387206946743e+00 3.382812500000001e+00 3.500000000000000e+00
99583899134122209319622137535589702080	1.000000000000000e+00 2.000000000000000e+00 2.931296972504133e+00 3.375000000000000e+00 3.500000000000000e+00
158698997302432715466260854833069746051	1.000000000000000e+00 2.000000000000000e+00 2.954887206946743e+00 3.437500000000002e+00 3.500000000000000e+00
88230787499350768942453083494280919867	1.000000000000000e+00 2.000000000000000e+00 2.933364648336089e+00 3.398437500000001e+00 3.500000000000000e+00
78321846031237325255062263621577132832	1.000000000000000e+00 2.000000000000000e+00 2.947227441389350e+00 3.429687500000001e+00 3.500000000000000e+00
12082064349602633727075279135164691690	1.000000000000000e+00 2.000000000000000e+00 2.915671972504132e+00 3.367187500000001e+00 3.500000000000000e+00
225720619316220800973423745266692072993	1.000000000000000e+00 2.000000000000000e+00 2.925399413893480e+00 3.406250000000000e+00 3.500000000000000e+00
247075010075435068833126190203117769510	1.000000000000000e+00 2.000000000000000e+00 2.943092089725437e+00 3.437500000000000e+00 3.500000000000000e+00
83100261638436775964417201545965415256	1.000000000000000e+00 2.000000000000000e+00 2.883641773518899e+00 3.283164941389349e+00 3.500000000000000e+00
216332296492434188793242251477477787105	1.000000000000000e+00 2.000000000000000e+00 2.945159765557392e+00 3.376914941389348e+00 3.500000000000000e+00
267420689377627271592973352140294464262	1.000000000000000e+00 2.000000000000000e+00 2.943092089725437e+00 3.429687500000001e+00 3.500000000000000e+00
263822009599900018193994608240838457437	1.000000000000000e+00 2.000000000000000e+00 2.943092089725437e+00 3.421875000000001e+00 3.500000000000000e+00
150638205303213224920731326752284614521	1.000000000000000e+00 2.000000000000000e+00 2.945159765557393e+00 3.398437500000000e+00 3.500000000000000e+00
190989756613553236336221171466759832828	1.000000000000000e+00 2.000000000000000e+00 2.919501855282828e+00 3.343750000000002e+00 3.500000000000000e+00
59604068795793928391499081921472164066	1.000000000000000e+00 2.000000000000000e+00 2.937194531114785e+00 3.445312500000000e+00 3.500000000000000e+00
277371713437384879987328976846378782839	1.000000000000000e+00 2.000000000000000e+00 2.922857007961509e+00 3.406250000000000e+00 3.500000000000000e+00
217940783200718095632598345353084847460	1.000000000000000e+00 2.000000000000000e+00 2.917739648336089e+00 3.406250000000000e+00 3.500000000000000e+00
14949018842817759613464573961061898185	1.000000000000000e+00 2.000000000000000e+00 2.945159765557393e+00 3.414062500000000e+00 3.500000000000000e+00
83901200432785142397250367365592895910	1.000000000000000e+00 2.000000000000000e+00 2.927467089725437e+00 3.375000000000001e+00 3.500000000000000e+00
110639932196863035880738867949891924670	1.000000000000000e+00 2.000000000000000e+00 2.917739648336090e+00 3.375000000000001e+00 3.500000000000000e+00
128809835947240599164976945861036432261	1.000000000000000e+00 2.000000000000000e+00 2.933364648336089e+00 3.390625000000000e+00 3.500000000000000e+00
65966096320832666509539973448153051200	1.000000000000000e+00 2.000000000000000e+00 2.948989648336089e+00 3.445312500000000e+00 3.500000000000000e+00
327592223251112303987516356370644982607	1.000000000000000e+00 2.000000000000000e+00 2.892387206946742e+00 3.367187500000002e+00 3.500000000000000e+00
50624606410550430334267779897023279000	1.000000000000000e+00 2.000000000000000e+00 2.923637206946741e+00 3.375000000000001e+00 3.500000000000000e+00
138479737309224314724836114404455092197	1.000000000000000e+00 2.000000000000000e+00 2.921569531114784e+00 3.375000000000001e+00 3.500000000000000e+00
41461573158598535144971872518023680094	1.000000000000000e+00 2.000000000000000e+00 2.933364648336089e+00 3.328125000000001e+00 3.500000000000000e+00
123585493430982840656440861568844202462	1.000000000000000e+00 2.000000000000000e+00 2.933364648336090e+00 3.421875000000000e+00 3.500000000000000e+00
280678375500800214279681782444847487264	1.000000000000000e+00 2.000000000000000e+00 2.931296972504133e+00 3.421875000000000e+00 3.500000000000000e+00
217810386062621371412204763824591402564	1.000000000000000e+00 2.000000000000000e+00 2.931296972504132e+00 3.406250000000001e+00 3.500000000000000e+00
8390838686477463880448552445167439443	1.000000000000000e+00 2.000000000000000e+00 2.892387206946741e+00 3.320312500000001e+00 3.500000000000000e+00
338281559042172474724049002185714111132	1.000000000000000e+00 2.000000000000000e+00 2.948989648336089e+00 3.460937500000000e+00 3.500000000000000e+00
191703382402693599780207339342701699957	1.000000000000000e+00 2.000000000000000e+00 2.915671972504132e+00 3.390625000000000e+00 3.500000000000000e+00
253576977775835275641262026153517036505	1.000000000000000e+00 2.000000000000000e+00 2.878829882778698e+00 3.382812500000000e+00 3.500000000000000e+00
328275622933926276636783091552045797456	1.000000000000000e+00 2.000000000000000e+00 2.933364648336089e+00 3.414062500000000e+00 3.500000000000000e+00
47454679595054770935260975364072545876	1.000000000000000e+00 2.000000000000000e+00 2.947227441389350e+00 3.437500000000000e+00 3.500000000000000e+00
66869483466738891884244106268448148735	1.000000000000000e+00 2.000000000000000e+00 2.913909765557394e+00 3.398437500000001e+00 3.500000000000000e+00
227463039486774824776096616745176259216	1.000000000000000e+00 2.000000000000000e+00 2.921569531114785e+00 3.351562500000000e+00 3.500000000000000e+00
89544956573085736808072885650201397035	1.000000000000000e+00 2.000000000000000e+00 2.927467089725437e+00 3.400352441389349e+00 3.500000000000000e+00
165613930797340667032340402814251012149	1.000000000000000e+00 2.000000000000000e+00 2.913909765557393e+00 3.375000000000000e+00 3.500000000000000e+00
72523754634949317540716114131719293555	1.000000000000000e+00 2.000000000000000e+00 2.894149413893480e+00 3.382812500000000e+00 3.500000000000000e+00
194629340653710269323062170895963466287	1.000000000000000e+00 2.000000000000000e+00 2.893369214908247e+00 3.359375000000001e+00 3.500000000000000e+00
119508027851091628727355055566432538640	1.000000000000000e+00 2.000000000000000e+00 2.915671972504132e+00 3.367187500000001e+00 3.500000000000000e+00
81273921877635866323985982460220637462	1.000000000000000e+00 2.000000000000000e+00 2.948989648336089e+00 3.398437500000001e+00 3.500000000000000e+00
141505605676707330493500393583964286669	1.000000000000000e+00 2.000000000000000e+00 2.890319531114785e+00 3.375000000000001e+00 3.500000000000000e+00
111437687165522823496907211575497955138	1.000000000000000e+00 2.000000000000000e+00 2.923637206946741e+00 3.369102441389348e+00 3.500000000000000e+00
189326468043786952294600489831358218377	1.000000000000000e+00 2.000000000000000e+00 2.956954882778699e+00 3.492187500000000e+00 3.500000000000000e+00
132499836407762198946933177315316215727	1.000000000000000e+00 2.000000000000000e+00 2.892387206946742e+00 3.337852441389349e+00 3.500000000000000e+00
73252362606356912512544710339574884072	1.000000000000000e+00 2.000000000000000e+00 2.927467089725437e+00 3.382812500000001e+00 3.500000000000000e+00
323815010970083809543026626541351268731	1.000000000000000e+00 2.000000000000000e+00 2.902114648336089e+00 3.359375000000000e+00 3.500000000000000e+00
277986880712806691731592542029895063557	1.000000000000000e+00 2.000000000000000e+00 2.921569531114784e+00 3.398437500000000e+00 3.500000000000000e+00
312314016846853655777511426712459046629	1.000000000000000e+00 2.000000000000000e+00 2.933364648336089e+00 3.390625000000001e+00 3.500000000000000e+00
307165247045186511749313261002243760202	1.000000000000000e+00 2.000000000000000e+00 2.911061890740204e+00 3.390625000000001e+00 3.500000000000000e+00
291326145325163706257192543545992938282	1.000000000000000e+00 2.000000000000000e+00 2.921569531114785e+00 3.361289941389349e+00 3.500000000000000e+00
