GENOME	ENTROPIES for motif lengths [1 2 3 4 5 6 7 8]
52390728093132069498645157014841601890	1.000000000000000e+00 2.000000000000000e+00 2.902114648336089e+00 3.322227441389349e+00 3.437500000000000e+00 3.460937500000000e+00 3.484375000000000e+00 3.500000000000000e+00
256124736232665173720150564794231522484	1.000000000000000e+00 2.000000000000000e+00 2.937194531114786e+00 3.375000000000001e+00 3.453125000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
86027000615669593117749245890677233453	1.000000000000000e+00 2.000000000000000e+00 2.685634133144318e+00 3.066177148336088e+00 3.296875000000000e+00 3.445312500000000e+00 3.484375000000000e+00 3.500000000000000e+00
193992995252441546953738320037442487226	1.000000000000000e+00 2.000000000000000e+00 2.824971656297595e+00 3.191329882778697e+00 3.390625000000000e+00 3.460937500000000e+00 3.484375000000000e+00 3.500000000000000e+00
12465111814784280179332965417985352978	1.000000000000000e+00 2.000000000000000e+00 2.799619214908247e+00 3.161994824168045e+00 3.353477441389349e+00 3.460937500000000e+00 3.484375000000000e+00 3.500000000000000e+00
302153990867203017204368901632527120130	1.000000000000000e+00 2.000000000000000e+00 2.877744214908247e+00 3.304687500000002e+00 3.406250000000000e+00 3.445312500000000e+00 3.484375000000000e+00 3.500000000000000e+00
39091664987666279559674721337444130352	1.000000000000000e+00 2.000000000000000e+00 2.733491141105824e+00 3.117034765557392e+00 3.322227441389349e+00 3.445312500000000e+00 3.484375000000000e+00 3.500000000000000e+00
20113450355241536279968461563164650398	1.000000000000000e+00 2.000000000000000e+00 2.780164332129551e+00 3.163909765557392e+00 3.357307324168044e+00 3.439414941389349e+00 3.484375000000000e+00 3.500000000000000e+00
301679416806033684650168583512955440752	1.000000000000000e+00 2.000000000000000e+00 2.890319531114785e+00 3.255744824168045e+00 3.421875000000000e+00 3.460937500000000e+00 3.484375000000000e+00 3.500000000000000e+00
306643784014200319096298994522655793360	1.000000000000000e+00 2.000000000000000e+00 2.832156691754971e+00 3.202972265557393e+00 3.369102441389349e+00 3.445312500000000e+00 3.484375000000000e+00 3.500000000000000e+00
224397532558950946702085444610581121137	1.000000000000000e+00 2.000000000000000e+00 2.900046972504132e+00 3.335937500000001e+00 3.453125000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
7273034032351570124527282490004447070	1.000000000000000e+00 2.000000000000000e+00 2.818092089725436e+00 3.269454882778697e+00 3.431602441389350e+00 3.468750000000001e+00 3.484375000000000e+00 3.500000000000000e+00
90518731306007405789134989873964632477	1.000000000000000e+00 2.000000000000000e+00 2.708918898701708e+00 3.144454882778696e+00 3.375000000000000e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
337859863871049262769340554336646892691	1.000000000000000e+00 2.000000000000000e+00 2.921569531114784e+00 3.320312500000001e+00 3.437500000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
34745186900238928105579298810518970368	1.000000000000000e+00 2.000000000000000e+00 2.770436890740203e+00 3.101409765557392e+00 3.322227441389348e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
51942219552375509553211308217603385453	1.000000000000000e+00 2.000000000000000e+00 2.751964015923013e+00 3.148284765557392e+00 3.322227441389348e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
247979640156663027568757697402145520750	1.000000000000000e+00 2.000000000000000e+00 2.752744214908247e+00 3.152267382778698e+00 3.359375000000002e+00 3.429687500000001e+00 3.484375000000000e+00 3.500000000000000e+00
67052327653054001836059585075386414845	1.000000000000000e+00 2.000000000000000e+00 2.782232007961507e+00 3.163909765557394e+00 3.384727441389348e+00 3.460937500000000e+00 3.484375000000000e+00 3.500000000000000e+00
176833631601635947946738859674265735301	1.000000000000000e+00 2.000000000000000e+00 2.800601222869753e+00 3.253829882778698e+00 3.421875000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
1558163955758981325676961174881478535	1.000000000000000e+00 2.000000000000000e+00 2.896217089725436e+00 3.324142382778696e+00 3.431602441389348e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
141545474355337829620250455677575497291	1.000000000000000e+00 2.000000000000000e+00 2.896217089725437e+00 3.308517382778697e+00 3.437500000000000e+00 3.460937500000000e+00 3.484375000000000e+00 3.500000000000000e+00
217670990922338091887072166766161081055	1.000000000000000e+00 2.000000000000000e+00 2.786061890740204e+00 3.103477441389351e+00 3.306602441389351e+00 3.429687500000002e+00 3.484375000000000e+00 3.500000000000000e+00
167778737931306991808553250642645295106	1.000000000000000e+00 2.000000000000000e+00 2.739388699716477e+00 3.079887206946741e+00 3.279182324168045e+00 3.406250000000001e+00 3.484375000000000e+00 3.500000000000000e+00
143858742131553807279322396227069492872	1.000000000000000e+00 2.000000000000000e+00 2.839816457312361e+00 3.275352441389349e+00 3.406250000000000e+00 3.460937500000000e+00 3.484375000000000e+00 3.500000000000000e+00
225964998725975055966671386080849391116	1.000000000000000e+00 2.000000000000000e+00 2.731728934159085e+00 3.115119824168045e+00 3.322227441389349e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
151011199255020612319151222859748242761	1.000000000000000e+00 2.000000000000000e+00 2.837546972504132e+00 3.193244824168044e+00 3.359375000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
53442181661038962550458149969150833734	1.000000000000000e+00 2.000000000000000e+00 2.800399413893480e+00 3.257812500000000e+00 3.437500000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
196339904153806247616811050613719359459	1.000000000000000e+00 2.000000000000000e+00 2.765319531114785e+00 3.144454882778698e+00 3.312500000000001e+00 3.414062500000000e+00 3.484375000000000e+00 3.500000000000000e+00
190984398100855120463335640494432843690	1.000000000000000e+00 2.000000000000000e+00 2.874694531114784e+00 3.296875000000000e+00 3.421875000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
152053456515572016892474884675661990888	1.000000000000000e+00 2.000000000000000e+00 2.867034765557393e+00 3.236289941389349e+00 3.406250000000000e+00 3.460937500000000e+00 3.484375000000000e+00 3.500000000000000e+00
150256112320079184405452732069789974191	1.000000000000000e+00 2.000000000000000e+00 2.915671972504132e+00 3.335937500000001e+00 3.421875000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
72933014351164863390358307824249782215	1.000000000000000e+00 2.000000000000000e+00 2.919501855282828e+00 3.335937500000001e+00 3.437500000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
5908381918678149368298338799707324553	1.000000000000000e+00 2.000000000000000e+00 2.915671972504133e+00 3.353477441389348e+00 3.421875000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
88129766170444640378878847687013112602	1.000000000000000e+00 2.000000000000000e+00 2.824971656297595e+00 3.156097265557392e+00 3.322227441389349e+00 3.421875000000001e+00 3.484375000000000e+00 3.500000000000000e+00
22033715669455917604797684275626703882	1.000000000000000e+00 2.000000000000000e+00 2.814262206946741e+00 3.187347265557393e+00 3.390625000000000e+00 3.445312500000000e+00 3.484375000000000e+00 3.500000000000000e+00
178501206227122187744079848523509978386	1.000000000000000e+00 2.000000000000000e+00 2.808364648336089e+00 3.179534765557393e+00 3.347579882778698e+00 3.431602441389349e+00 3.484375000000000e+00 3.500000000000000e+00
271578795350801281364473343509585061846	1.000000000000000e+00 2.000000000000000e+00 2.850324097686943e+00 3.236289941389349e+00 3.421875000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
192568499597013427567714393671823594025	1.000000000000000e+00 2.000000000000000e+00 2.921569531114784e+00 3.335937500000001e+00 3.421875000000000e+00 3.460937500000000e+00 3.484375000000000e+00 3.500000000000000e+00
55069863839664428607926561997282843195	1.000000000000000e+00 2.000000000000000e+00 2.745084449350855e+00 3.126762206946740e+00 3.337852441389348e+00 3.445312500000000e+00 3.484375000000000e+00 3.500000000000000e+00
86090829819648234704376633582732268184	1.000000000000000e+00 2.000000000000000e+00 2.890319531114785e+00 3.253829882778697e+00 3.406250000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
19920235533994826668920870708458122849	1.000000000000000e+00 2.000000000000000e+00 2.923637206946741e+00 3.343750000000001e+00 3.421875000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
141146505459458488992870957693174264989	1.000000000000000e+00 2.000000000000000e+00 2.805516773518899e+00 3.160079882778697e+00 3.337852441389348e+00 3.421875000000000e+00 3.484375000000000e+00 3.500000000000000e+00
60706972987141707624803678181141419536	1.000000000000000e+00 2.000000000000000e+00 2.813176539076291e+00 3.181602441389349e+00 3.359375000000001e+00 3.445312500000000e+00 3.484375000000000e+00 3.500000000000000e+00
276771946743246632711160302543708729510	1.000000000000000e+00 2.000000000000000e+00 2.780944531114785e+00 3.173789941389350e+00 3.390625000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
237302027185237270065534807174212327416	1.000000000000000e+00 2.000000000000000e+00 2.816024413893480e+00 3.195159765557392e+00 3.375000000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
222489325287648554971083559389648141231	1.000000000000000e+00 2.000000000000000e+00 2.927467089725437e+00 3.314414941389348e+00 3.421875000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
263953642062934122324331598705895337688	1.000000000000000e+00 2.000000000000000e+00 2.905944531114785e+00 3.216682324168045e+00 3.375000000000002e+00 3.429687500000001e+00 3.484375000000000e+00 3.500000000000000e+00
294050928071028765878993668118032334512	1.000000000000000e+00 2.000000000000000e+00 2.883641773518901e+00 3.314414941389349e+00 3.406250000000000e+00 3.445312500000000e+00 3.484375000000000e+00 3.500000000000000e+00
340160177176832856190297303503221327440	1.000000000000000e+00 2.000000000000000e+00 2.842664332129552e+00 3.275352441389349e+00 3.437500000000000e+00 3.460937500000000e+00 3.484375000000000e+00 3.500000000000000e+00
123017203521006126118993014267311896018	1.000000000000000e+00 2.000000000000000e+00 2.767589015923014e+00 3.152267382778698e+00 3.343750000000001e+00 3.429687500000000e+00 3.484375000000000e+00 3.500000000000000e+00
200848494039061422952365175227992763181	1.000000000000000e+00 2.000000000000000e+00 2.923637206946741e+00 3.322227441389349e+00 3.453125000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
274491977707085887679096349410556571588	1.000000000000000e+00 2.000000000000000e+00 2.699191457312362e+00 3.136642382778698e+00 3.343750000000001e+00 3.429687500000000e+00 3.484375000000000e+00 3.500000000000000e+00
242623872486399677378494104455842904431	1.000000000000000e+00 2.000000000000000e+00 2.717539235012336e+00 3.058364648336089e+00 3.269454882778698e+00 3.390625000000001e+00 3.484375000000000e+00 3.500000000000000e+00
171850943755133632425518377526958151663	1.000000000000000e+00 2.000000000000000e+00 2.843444531114784e+00 3.250000000000002e+00 3.390625000000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
45527851950083027545628911339912143562	1.000000000000000e+00 2.000000000000000e+00 2.792739648336089e+00 3.169807324168045e+00 3.369102441389348e+00 3.460937500000000e+00 3.484375000000000e+00 3.500000000000000e+00
57934324863684807464835434207432921708	1.000000000000000e+00 2.000000000000000e+00 2.933364648336089e+00 3.337852441389349e+00 3.437500000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
48130990678599711239874595633117096500	1.000000000000000e+00 2.000000000000000e+00 2.633641773518898e+00 3.076057324168046e+00 3.337852441389348e+00 3.445312500000000e+00 3.484375000000000e+00 3.500000000000000e+00
139384961278127624142825374527559578656	1.000000000000000e+00 2.000000000000000e+00 2.927467089725437e+00 3.343750000000001e+00 3.453125000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
111579019232463261533939615795552253041	1.000000000000000e+00 2.000000000000000e+00 2.864186890740204e+00 3.205039941389350e+00 3.359375000000001e+00 3.460937500000000e+00 3.484375000000000e+00 3.500000000000000e+00
242667932655598433880588186772862566325	1.000000000000000e+00 2.000000000000000e+00 2.880592089725437e+00 3.343750000000001e+00 3.453125000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
173910137907580235753080980422616429030	1.000000000000000e+00 2.000000000000000e+00 2.864186890740204e+00 3.232307324168045e+00 3.353477441389348e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
221525499083609537147679033661161779757	1.000000000000000e+00 2.000000000000000e+00 2.892387206946742e+00 3.296875000000000e+00 3.421875000000000e+00 3.460937500000000e+00 3.484375000000000e+00 3.500000000000000e+00
86817254700791959194106443330184701214	1.000000000000000e+00 2.000000000000000e+00 2.676888699716475e+00 3.117034765557392e+00 3.312500000000001e+00 3.406250000000000e+00 3.468750000000000e+00 3.500000000000000e+00
48223127742791337158597768782713479098	1.000000000000000e+00 2.000000000000000e+00 2.843444531114784e+00 3.121017382778697e+00 3.312500000000001e+00 3.429687500000001e+00 3.484375000000000e+00 3.500000000000000e+00
322717990456788567558400359534272971787	1.000000000000000e+00 2.000000000000000e+00 2.830869214908247e+00 3.222579882778696e+00 3.369102441389348e+00 3.429687500000000e+00 3.468750000000000e+00 3.500000000000000e+00
