GENOME	ENTROPIES for motif lengths [1 2 3 4 5 6 7]
318360676109092117363978339666447979701	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.398437500000002e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
63632855665382304370572308927213646377	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000002e+00 3.453125000000001e+00 3.484375000000000e+00 3.500000000000000e+00
308040915880660558155671462668352316780	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.296875000000001e+00 3.421875000000000e+00 3.484375000000000e+00 3.500000000000000e+00
211808052034355340970049336573160918802	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.296875000000000e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
337521718334225685306656940661427866322	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.390625000000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
174731603303241605165888579233582904737	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.343750000000001e+00 3.453125000000000e+00 3.492187500000000e+00 3.500000000000000e+00
160291844528456658184444721858592593898	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.304687500000001e+00 3.421875000000001e+00 3.484375000000000e+00 3.500000000000000e+00
59168294461612392464820406160855303533	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.328125000000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
4561655494671014195277977283489818279	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.406250000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
124301125309219726779974085772031010478	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.304687500000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
201700399082122856515177762775576244347	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.343750000000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
40195221842668084206496305501638854893	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
85849072325498620165331741510198527351	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
133701781055338665938737902733339833998	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.406250000000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
248848598703813876727929003123343261507	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.367187500000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
134261515395957984792518317738308317971	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.382812500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
168229306766102595914479328346263902826	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.343750000000001e+00 3.437500000000000e+00 3.476562500000000e+00 3.500000000000000e+00
128982243746567957761224361829130328432	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.390625000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
308034421742741533075162156370379318316	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.296875000000000e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
228087441869435704472452419927378159247	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000001e+00 3.421875000000000e+00 3.492187500000000e+00 3.500000000000000e+00
326189672003989911846369013676826654919	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.304687500000001e+00 3.453125000000000e+00 3.492187500000000e+00 3.500000000000000e+00
29436801784471947493041933951552253823	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.328125000000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
66791600743543667716338827877477679325	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
171222690875128941297206699755512715832	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.398437500000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
332214325615639392218186892911898627164	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.421875000000001e+00 3.468750000000001e+00 3.484375000000000e+00 3.500000000000000e+00
25308282020135666663051382335467441031	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000000e+00 3.421875000000000e+00 3.484375000000000e+00 3.500000000000000e+00
14494462240345423217001852017715415292	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.320312500000001e+00 3.453125000000000e+00 3.492187500000000e+00 3.500000000000000e+00
337546099303391518036672156560407627672	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.304687500000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
302664061953834613609348500221645880666	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.343750000000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
224858183466901689498377195874783923652	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.289062500000002e+00 3.453125000000001e+00 3.492187500000000e+00 3.500000000000000e+00
154610172535579720866569283284838564495	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.296875000000000e+00 3.437500000000000e+00 3.492187500000000e+00 3.500000000000000e+00
208820175175270500884756458145892115072	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
234219847275231491016310291356998528704	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.296875000000001e+00 3.406250000000000e+00 3.484375000000000e+00 3.500000000000000e+00
252242757364127128460801273722496100024	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.320312500000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
145207386172815502072358251986103303283	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.437500000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
57057694658829127291619730912251255556	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.398437500000001e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
25403608585025448406647659919259129561	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.382812500000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
235045776222481689862070436465089620205	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
68533352193605986573031312406735505989	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.320312500000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
147481212524597886447567361354091570087	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.289062500000002e+00 3.437500000000001e+00 3.484375000000000e+00 3.500000000000000e+00
198708405349243505355614520879740608913	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.351562500000000e+00 3.453125000000000e+00 3.492187500000000e+00 3.500000000000000e+00
206872151904060250172287218410778716645	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000002e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
295888857888215005372236648082201001887	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.421875000000001e+00 3.484375000000000e+00 3.500000000000000e+00
328868178947309316872945464453228382017	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.390625000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
49168923992624941398830275934828127254	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.343750000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
11572230754979580238268527010898199720	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.398437500000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
338189070260870474111253129737093744668	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.382812500000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
228088836268484993976549158273728076607	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
134397669181064446536337679190383282727	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.390625000000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
276788698752559530629646347622205904506	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.320312500000001e+00 3.453125000000000e+00 3.492187500000000e+00 3.500000000000000e+00
154588351946207847554696486425437308287	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.351562500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
222689892246379287367008924522276775654	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.289062500000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
292379801687562978242157067226516220382	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.445312500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
229521546828115860439347736792958499301	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.304687500000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
59462073027000967134244580593602894543	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.296875000000001e+00 3.421875000000000e+00 3.484375000000000e+00 3.500000000000000e+00
249062474114855179116719653790841697018	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.476562500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
253689894756028918216541490871282068536	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.421875000000000e+00 3.484375000000000e+00 3.500000000000000e+00
1537501762035082192464214595226018913	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.414062500000001e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
161287991524013652550361252339041917395	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.265625000000003e+00 3.406250000000002e+00 3.484375000000000e+00 3.500000000000000e+00
155486831320514445254923934316320988795	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
234625863500762982555231892704085415049	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.390625000000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
277079175347661569380621366145244873599	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.351562500000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
116740481944016931326034145336460293259	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.445312500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
35727680499172408343095232344105119507	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.453125000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
221585396089272324028086521310938604766	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.328125000000002e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
9418343635389342665654684646423192979	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000003e+00 3.453125000000002e+00 3.484375000000000e+00 3.500000000000000e+00
274653827155219946477184452273317053531	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.398437500000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
50622899983787771724357904534046761175	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.328125000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
290352629948251314620427768969179646637	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.367187500000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
166094294593779055182055483380536440118	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.406250000000001e+00 3.484375000000000e+00 3.500000000000000e+00
222658063424594527142279923957140265636	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.398437500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
109893207014993778778673154039017634771	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.406250000000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
57126374869152105026601754106464328163	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.320312500000001e+00 3.437500000000001e+00 3.484375000000000e+00 3.500000000000000e+00
95691765596406376077805143186794851763	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
263511414434897908489115252442186191371	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.437500000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
54665276833109475577796081470433535343	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.421875000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
106079294637954960524782661918638082580	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
290690585328205683452400841552718595660	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.304687500000001e+00 3.437500000000000e+00 3.492187500000000e+00 3.500000000000000e+00
193815442007921182180004184433861018132	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.281250000000002e+00 3.406250000000001e+00 3.468750000000000e+00 3.500000000000000e+00
224701638387209716757037910643996837169	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.367187500000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
326187513579176174212062453253053811833	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.367187500000001e+00 3.453125000000000e+00 3.492187500000000e+00 3.500000000000000e+00
40832762491907702294186000545412063949	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.421875000000000e+00 3.484375000000000e+00 3.500000000000000e+00
121887861678970064093669156519744799986	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.437500000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
248696716669282758116332121934090216124	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.406250000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
